單字,假名,中文,程度,例句
お兄さん,おにいさん,(someone else's) older brother (formal),N5,
お姉さん,おねえさん,older sister (formal),N5,
伯母さん; 叔母さん,おばさん,aunt,N5,
おばあさん,おばあさん,grandmother,N5,
お風呂,おふろ,a bath,N5,
お弁当,おべんとう,a boxed lunch,N5,
覚える,おぼえる,to learn,N5,
おまわりさん,おまわりさん,policeman (friendly term),N5,
重い,おもい,heavy; serious,N5,
面白い,おもしろい,interesting,N5,
泳ぐ,およぐ,to swim,N5,
降りる,おりる,to get off,N5,
終る,おわる,to finish,N5,
音楽,おんがく,Music,N5,
女,おんな,woman,N5,
女の子,おんなのこ,girl,N5,
～回,～かい,counter for occurrences (~ times),N5,
～階,～かい,counter for stories (floors) of a building,N5,
外国,がいこく,foreign country; abroad,N5,
外国人,がいこくじん,foreigner,N5,
会社,かいしゃ,company,N5,
階段,かいだん,stairs,N5,
買い物,かいもの,shopping,N5,
買う,かう,to buy,N5,
返す,かえす,to return something,N5,
帰る,かえる,to go back,N5,
顔,かお,face (body part),N5,
かかる,かかる,it takes (amount of time,N5,
鍵,かぎ,a lock; a key,N5,
書く,かく,to write,N5,
学生,がくせい,student,N5,
～か月,～かげつ,(number of) months,N5,
掛ける,かける,to put on (e.g.,N5,
かける,かける,to dial/call (e.g.,N5,
傘,かさ,umbrella,N5,
貸す,かす,to lend,N5,
風,かぜ,wind,N5,
風邪,かぜ,cold,N5,
方,かた,-- honorific form for 人 (ひと) --; way of doing,N5,
家族,かぞく,family,N5,
片仮名,かたかな,katakana,N5,
～月,～がつ,month of year,N5,
学校,がっこう,a school,N5,
カップ,カップ,cup,N5,
家庭,かてい,home; family,N5,
角,かど,corner (e.g.,N5,
かばん,かばん,bag,N5,
花瓶,かびん,(flower) vase,N5,
かぶる,かぶる,to wear,N5,
紙,かみ,paper,N5,
カメラ,カメラ,camera,N5,
火曜日,かようび,Tuesday,N5,
辛い,からい,hot and spicy; salty,N5,
体,からだ,body; health,N5,
借りる,かりる,to borrow,N5,
～がる,～がる,feel,N5,
軽い,かるい,light,N5,
カレー,カレー,curry (abbr. for curry and rice),N5,
カレンダー,カレンダー,calendar,N5,
川; 河,かわ,river,N5,
～側,～がわ,~ side,N5,
可愛い,かわいい,cute,N5,
漢字,かんじ,kanji; Chinese character,N5,
木,き,tree,N5,
黄色,きいろ,yellow,N5,
黄色い,きいろい,yellow,N5,
消える,きえる,to vanish,N5,
聞く,きく,to hear,N5,
北,きた,north,N5,
ギター,ギター,guitar,N5,
汚い,きたない,dirty,N5,
喫茶店,きっさてん,café,N5,
切手,きって,postal (postage) stamps,N5,
切符,きっぷ,a ticket,N5,
昨日,きのう,yesterday,N5,
九,きゅう,nine,N5,
牛肉,ぎゅうにく,beef,N5,
牛乳,ぎゅうにゅう,milk,N5,
今日,きょう,today,N5,
教室,きょうしつ,classroom,N5,
兄弟,きょうだい,siblings (humble),N5,
去年,きょねん,last year,N5,
嫌い,きらい,dislike,N5,
切る,きる,to cut; to hang up (a phone),N5,
着る,きる,to put on (clothes above your waist); to wear,N5,
綺麗,きれい,pretty,N5,
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),N5,
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),N5,
銀行,ぎんこう,bank,N5,
金曜日,きんようび,Friday,N5,
九,く,nine,N5,
薬,くすり,medicine,N5,
下さい,ください,(with te-form verb) please do for me,N5,
果物,くだもの,fruit,N5,
口,くち,job opening; mouth,N5,
靴,くつ,shoes,N5,
靴下,くつした,socks,N5,
国,くに,country; place of origin,N5,
曇り,くもり,cloudiness,N5,
曇る,くもる,to become cloudy,N5,
暗い,くらい,dark,N5,
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),N5,
クラス,クラス,a class,N5,
グラム,グラム,gram,N5,
来る,くる,to come,N5,
車,くるま,car,N5,
黒,くろ,black,N5,
黒い,くろい,black; dark,N5,
警官,けいかん,police officer,N5,
今朝,けさ,this morning,N5,
消す,けす,to erase,N5,
結構,けっこう,splendid; enough,N5,
結婚,けっこん (する),marriage (get married),N5,
月曜日,げつようび,Monday,N5,
玄関,げんかん,entrance (to a house or a building),N5,
元気,げんき,health(y),N5,
～個,～こ,counter for small items (e.g.,N5,
五,ご,five,N5,
～語,～ご,word,N5,
公園,こうえん,a park,N5,
交差点,こうさてん,intersection,N5,
紅茶,こうちゃ,black tea,N5,
交番,こうばん,police box,N5,
声,こえ,voice,N5,
コート,コート,coat; court (e.g.,N5,
コーヒー,コーヒー,coffee,N5,
ここ,ここ,here,N5,
午後,ごご,afternoon,N5,
九日,ここのか,nine days; ninth day of the month,N5,
九つ,ここのつ,nine things,N5,
午前,ごぜん,morning,N5,
答える,こたえる,to answer,N5,
こちら,こちら,this person (polite); this way (polite),N5,
こっち,こっち,this person; this direction; this side,N5,
コップ,コップ,a tumbler; a glass,N5,
今年,ことし,this year,N5,
言葉,ことば,language; word(s); expression(s),N5,
子供,こども,child(ren),N5,
この,この,this,N5,
御飯,ごはん,rice (cooked); meal,N5,
コピーする,コピーする,to copy,N5,
困る,こまる,to be bothered,N5,
これ,これ,this one,N5,
～ころ; ～ごろ,～ころ; ～ごろ,about,N5,
今月,こんげつ,this month,N5,
今週,こんしゅう,this week,N5,
こんな,こんな,such,N5,
今晩,こんばん,tonight,N5,
さあ,さあ,come now,N5,
～歳,～さい,~ years old,N5,
財布,さいふ,wallet,N5,
魚,さかな,fish,N5,
先,さき,future; recent,N5,
咲く,さく,to bloom,N5,
作文,さくぶん,essay; composition,N5,
差す,さす,to raise (stretch out) hands,N5,
～冊,～さつ,counter for books,N5,
雑誌,ざっし,magazine,N5,
砂糖,さとう,sugar,N5,
寒い,さむい,cold (in reference to weather),N5,
さ来年,さらいねん,year after next,N5,
～さん,～さん,Mr. ~,N5,
三,さん,three,N5,
散歩,さんぽ (する),walk,N5,
四,し,four,N5,
～時,～じ,~ o'clock (time),N5,
塩,しお,salt,N5,
しかし,しかし,however; but,N5,
時間,じかん,time,N5,
～時間,～じかん,~ hours,N5,
仕事,しごと,work,N5,
辞書,じしょ,dictionary,N5,
静か,しずか,quiet,N5,
下,した,under,N5,
七,しち,seven,N5,
質問,しつもん,question,N5,
自転車,じてんしゃ,bicycle,N5,
自動車,じどうしゃ,automobile,N5,
死ぬ,しぬ,to die,N5,
字引,じびき,dictionary,N5,
自分,じぶん,myself,N5,
閉まる,しまる,to close,N5,
閉める,しめる,to close,N5,
締める,しめる,to tie,N5,
じゃ; じゃあ,じゃ; じゃあ,well,N5,
写真,しゃしん,a picture; a photograph,N5,
シャツ,シャツ,shirt,N5,
シャワー,シャワー,shower,N5,
十,じゅう,ten,N5,
～中,～じゅう,during,N5,
～週間,～しゅうかん,~ weeks,N5,
授業,じゅぎょう,a class (of school),N5,
宿題,しゅくだい,homework,N5,
上手,じょうず,be good at,N5,
丈夫,じょうぶ,strong,N5,
醤油,しょうゆ,soy sauce,N5,
食堂,しょくどう,cafeteria,N5,
知る,しる,to know,N5,
白,しろ,white,N5,
白い,しろい,white,N5,
～人,～じん,counter for people,N5,
新聞,しんぶん,newspaper,N5,
水曜日,すいようび,Wednesday,N5,
吸う,すう,to breathe in,N5,
スカート,スカート,skirt,N5,
好き,すき,liking,N5,
～すぎ,～すぎ,past; to exceed,N5,
少ない,すくない,a little; a few,N5,
すぐに,すぐに,immediately,N5,
少し,すこし,little,N5,
涼しい,すずしい,cool,N5,
～ずつ,～ずつ,at a time,N5,
ストーブ,ストーブ,heater (lit: stove),N5,
スプーン,スプーン,spoon,N5,
スポーツ,スポーツ,sport(s),N5,
ズボン,ズボン,trousers,N5,
住む,すむ,to reside,N5,
する,する,to do,N5,
座る,すわる,to sit,N5,
背,せい,(one's) height,N5,
生徒,せいと,student; pupil,N5,
セーター,セーター,sweater,N5,
石鹸,せっけん,soap,N5,
背広,せびろ,men's suit,N5,
狭い,せまい,narrow; not spacious,N5,
ゼロ,ゼロ,zero,N5,
千,せん,thousand,N5,
先月,せんげつ,last month,N5,
先週,せんしゅう,last week,N5,
先生,せんせい,teacher,N5,
洗濯,せんたく,washing,N5,
全部,ぜんぶ,all,N5,
そう; そうです,そう; そうです,yes; appears,N5,
掃除,そうじ (する),cleaning,N5,
そうして; そして,そうして; そして,and,N5,
そこ,そこ,that place,N5,
そちら,そちら,over there,N5,
そっち,そっち,over there,N5,
外,そと,outside,N5,
その,その,that,N5,
そば,そば,near,N5,
空,そら,sky,N5,
それ,それ,that one,N5,
それから,それから,and then,N5,
それでは,それでは,in that situation,N5,
～台,～だい,counter for vehicles; machines,N5,
大学,だいがく,college; university,N5,
大使館,たいしかん,embassy,N5,
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,N5,
大好き,だいすき,very like-able,N5,
大切,たいせつ,important,N5,
台所,だいどころ,kitchen,N5,
大変,たいへん,very; difficult,N5,
高い,たかい,tall,N5,
～だけ,～だけ,only ~,N5,
沢山,たくさん,many,N5,
タクシー,タクシー,taxi,N5,
出す,だす,to take (something) out; to hand in (something),N5,
～たち,～たち,plural suffix,N5,
立つ,たつ,to stand up,N5,
たて,たて,length,N5,
建物,たてもの,building,N5,
楽しい,たのしい,enjoyable,N5,
頼む,たのむ,to request,N5,
たばこ,たばこ,tobacco,N5,
多分,たぶん,perhaps,N5,
食べ物,たべもの,food,N5,
食べる,たべる,to eat,N5,
卵,たまご,egg,N5,
誰,だれ,who,N5,
誰か,だれか,someone,N5,
誕生日,たんじょうび,birthday,N5,
段々,だんだん,gradually,N5,
小さい,ちいさい,small,N5,
小さな,ちいさな,small,N5,
近い,ちかい,near,N5,
違う,ちがう,to be different; to differ; wrong,N5,
近く,ちかく,nearby; in the neighborhood,N5,
地下鉄,ちかてつ,underground train,N5,
地図,ちず,a map,N5,
父,ちち,(my) father,N5,
茶色,ちゃいろ,brown,N5,
茶碗,ちゃわん,rice bowl,N5,
～中,～ちゅう,during,N5,
丁度,ちょうど,just,N5,
ちょっと,ちょっと,a little,N5,
一日,ついたち,one day; first day of the month,N5,
使う,つかう,to use,N5,
疲れる,つかれる,to get (become) tired; to become fatigued,N5,
次,つぎ,next,N5,
着く,つく,to arrive at,N5,
机,つくえ,desk,N5,
作る,つくる,to make,N5,
つける,つける,to turn on (e.g.,N5,
勤める,つとめる,to work (for),N5,
つまらない,つまらない,boring,N5,
冷たい,つめたい,cold (things,N5,
強い,つよい,strong,N5,
手,て,hand,N5,
テープ,テープ,tape,N5,
テープレコーダー,テープレコーダー,tape recorder,N5,
テーブル,テーブル,table,N5,
出かける,でかける,to go out; to depart,N5,
手紙,てがみ,letter,N5,
できる,できる,to be able to (to accomplish),N5,
出口,でぐち,an exit,N5,
テスト,テスト,test,N5,
では,では,then,N5,
デパート,デパート,(abbr.) department store,N5,
でも,でも,but,N5,
出る,でる,to appear,N5,
テレビ,テレビ,television,N5,
天気,てんき,weather,N5,
電気,でんき,electricity,N5,
電車,でんしゃ,electric train,N5,
電話,でんわ,a telephone,N5,
戸,と,door (Japanese style),N5,
～度,～ど,counter for occurrences; ~ degree; ~ point,N5,
ドア,ドア,door (Western style),N5,
トイレ,トイレ,bathroom; toilet,N5,
どう,どう,how,N5,
どうして,どうして,why,N5,
どうぞ,どうぞ,please,N5,
動物,どうぶつ,animal,N5,
どうも,どうも,Thank you; somehow; no matter how hard one may try,N5,
十,(〜を) とお,ten (~),N5,
遠い,とおい,far (away),N5,
十日,とおか,ten days; tenth day of the month,N5,
～時,～とき,at the time of ~,N5,
時々,ときどき,sometimes,N5,
時計,とけい,a watch; a clock,N5,
どこ,どこ,where,N5,
所,ところ,place,N5,
年,とし,year,N5,
図書館,としょかん,library,N5,
どちら,どちら,which (one) (way); where (polite),N5,
どっち,どっち,which one,N5,
とても,とても,very (much),N5,
どなた,どなた,who,N5,
隣,となり,next to,N5,
どの,どの,which,N5,
飛ぶ,とぶ,to fly,N5,
止まる,とまる,to come to a halt,N5,
友達,ともだち,friend,N5,
土曜日,どようび,Saturday,N5,
鳥,とり,chicken (lit.,N5,
鶏肉,とりにく,chicken meat,N5,
取る,とる,to take (a class); to get (a grade),N5,
撮る,とる,to take (a photo),N5,
どれ,どれ,which one,N5,
どんな,どんな,what,N5,
ない,ない,there isn't,N5,
ナイフ,ナイフ,knife,N5,
中,なか,inside,N5,
長い,ながい,long,N5,
鳴く,なく,to make sound (animal),N5,
無くす,なくす,to lose something,N5,
なぜ,なぜ,why (same as どうして),N5,
夏,なつ,summer,N5,
夏休み,なつやすみ,summer vacation,N5,
～など,～など,et cetera,N5,
七つ,ななつ,seven things,N5,
何,なん; なに,what,N5,
七日,なのか,seven days; seventh day (of the month),N5,
名前,なまえ,name,N5,
習う,ならう,to learn,N5,
並ぶ,ならぶ,to line up,N5,
並べる,ならべる,to put (things) side by side; to line up,N5,
なる,なる,to become,N5,
何～,なん～,what sort of ~,N5,
二,に,two,N5,
にぎやか,にぎやか,bustling,N5,
肉,にく,meat,N5,
西,にし,west,N5,
～日,～にち,~ day of the month,N5,
日曜日,にちようび,Sunday,N5,
荷物,にもつ,luggage; baggage,N5,
ニュース,ニュース,news,N5,
庭,にわ,garden,N5,
～人,～にん,counter for people,N5,
脱ぐ,ぬぐ,to take off (clothes),N5,
温い,ぬるい,lukewarm,N5,
ネクタイ,ネクタイ,tie,N5,
猫,ねこ,cat,N5,
寝る,ねる,to sleep; to go to sleep; to go to bed,N5,
～年,～ねん,~ years,N5,
ノート,ノート,notebook,N5,
登る,のぼる,to climb,N5,
飲み物,のみもの,drink,N5,
飲む,のむ,to drink,N5,
乗る,のる,to get on,N5,
歯,は,tooth,N5,
パーティー,パーティー,a party,N5,
はい,はい,yes,N5,
～杯,～はい,counter for cupfuls,N5,
灰皿,はいざら,ashtray,N5,
入る,はいる,to enter,N5,
葉書,はがき,postcard,N5,
はく,はく,to put on (items below your waist),N5,
箱,はこ,box,N5,
橋,はし,bridge,N5,
箸,はし,chopsticks,N5,
始まる,はじまる,(something) begins,N5,
初め; 始め,はじめ,beginning,N5,
初めて,はじめて,for the first time,N5,
走る,はしる,to run,N5,
バス,バス,bus; bath; bass,N5,
バター,バター,butter,N5,
二十歳,はたち,20 years old,N5,
働く,はたらく,to work,N5,
八,はち,eight,N5,
二十日,はつか,twenty days,N5,
花,はな,flower,N5,
鼻,はな,nose,N5,
話,はなし,talk (chat),N5,
話す,はなす,to speak,N5,
母,はは,(my) mother,N5,
早い,はやい,early,N5,
速い,はやい,fast,N5,
春,はる,spring,N5,
貼る,はる,to post; to paste; to attach,N5,
晴れ,はれ,clear (sunny) weather,N5,
晴れる,はれる,to be sunny,N5,
半,はん,half (e.g.,N5,
晩,ばん,evening,N5,
～番,～ばん,~st; ~th best,N5,
パン,パン,bread,N5,
ハンカチ,ハンカチ,handkerchief,N5,
番号,ばんごう,number,N5,
晩御飯,ばんごはん,dinner,N5,
半分,はんぶん,half,N5,
東,ひがし,east,N5,
～匹,～ひき,counter for small animals,N5,
引く,ひく,to pull,N5,
弾く,ひく,to play (a string instrument or piano),N5,
低い,ひくい,short,N5,
飛行機,ひこうき,airplane,N5,
左,ひだり,left hand side,N5,
人,ひと,man,N5,
一つ,ひとつ,one thing,N5,
一月,ひとつき,one month,N5,
一人,ひとり,one person,N5,
暇,ひま,free time,N5,
百,ひゃく,hundred,N5,
病院,びょういん,hospital,N5,
病気,びょうき,illness; sickness,N5,
平仮名,ひらがな,hiragana,N5,
昼,ひる,noon,N5,
昼御飯,ひるごはん,lunch,N5,
広い,ひろい,spacious; wide; broad,N5,
フィルム,フィルム,film (roll of),N5,
封筒,ふうとう,envelope,N5,
プール,プール,swimming pool,N5,
フォーク,フォーク,fork,N5,
吹く,ふく,to blow (wind,N5,
服,ふく,clothes,N5,
二つ,ふたつ,two things,N5,
豚肉,ぶたにく,pork,N5,
二人,ふたり,two people,N5,
二日,ふつか,two days; second day of the month,N5,
太い,ふとい,fat,N5,
冬,ふゆ,winter,N5,
降る,ふる,to precipitate,N5,
古い,ふるい,old (in reference to objects,N5,
～分,～ふん,~ minutes,N5,
文章,ぶんしょう,sentence,N5,
ページ,ページ,a page,N5,
下手,へた,unskillful,N5,
ベッド,ベッド,bed,N5,
ペット,ペット,pet,N5,
部屋,へや,a room,N5,
辺,へん,area,N5,
ペン,ペン,pen,N5,
勉強,べんきょう (する),study,N5,
便利,べんり,convenient,N5,
帽子,ぼうし,hat; cap,N5,
ボールペン,ボールペン,ball-point pen,N5,
外,ほか,other,N5,
ポケット,ポケット,pocket,N5,
欲しい,ほしい,to want,N5,
ポスト,ポスト,mailbox; post,N5,
細い,ほそい,thin,N5,
ボタン,ボタン,button,N5,
ホテル,ホテル,hotel,N5,
本,ほん,book,N5,
～本,～ほん,counter for long cylindrical things,N5,
本棚,ほんだな,bookshelf,N5,
本当,ほんとう,real,N5,
～枚,～まい,counter for flat things,N5,
毎朝,まいあさ,every morning,N5,
毎月,まいげつ; まいつき,every month,N5,
毎週,まいしゅう,every week,N5,
毎日,まいにち,every day,N5,
毎年,まいねん; まいとし,every year,N5,
毎晩,まいばん,every night,N5,
前,まえ,before,N5,
～前,～まえ,in front of ~,N5,
曲る,まがる,to turn,N5,
まずい,まずい,terrible (in reference to food),N5,
また,また,and; furthermore,N5,
まだ,まだ,yet,N5,
町,まち,town; city,N5,
待つ,まつ,to wait,N5,
まっすぐ,まっすぐ,straight (ahead),N5,
マッチ,マッチ,match,N5,
窓,まど,window,N5,
丸い; 円い,まるい,round,N5,
万,まん,ten thousand,N5,
万年筆,まんねんひつ,fountain pen,N5,
磨く,みがく,to brush (teeth); to polish,N5,
右,みぎ,right hand side,N5,
短い,みじかい,short (length),N5,
水,みず,water,N5,
店,みせ,store,N5,
見せる,みせる,to show,N5,
道,みち,road,N5,
三日,みっか,three days,N5,
三つ,みっつ,three things,N5,
緑,みどり,green,N5,
皆さん,みなさん,all of you,N5,
南,みなみ,South,N5,
耳,みみ,ear,N5,
見る,みる,to see,N5,
みんな,みんな,all,N5,
六日,むいか,six days; sixth day of month,N5,
向こう,むこう,beyond,N5,
難しい,むずかしい,difficult,N5,
六つ,むっつ,six things,N5,
村,むら,village,N5,
目,め,eye(s),N5,
メートル,メートル,meter,N5,
眼鏡,めがね,eye glasses,N5,
もう,もう,already; again; more,N5,
木曜日,もくようび,Thursday,N5,
もしもし,もしもし,Hello? (used on the phone),N5,
持つ,もつ,to hold,N5,
もっと,もっと,more,N5,
物,もの,thing (concrete object),N5,
門,もん,gate,N5,
問題,もんだい,a problem,N5,
～屋,～や,~ shop,N5,
八百屋,やおや,greengrocer,N5,
野菜,やさい,vegetable,N5,
易しい,やさしい,easy,N5,
安い,やすい,inexpensive; cheap (things),N5,
休み,やすみ,holiday; day off; absence,N5,
休む,やすむ,to rest,N5,
八つ,やっつ,eight things,N5,
山,やま,mountain,N5,
やる,やる,to do; to give (to pets,N5,
夕方,ゆうがた,late afternoon (typically just before dinner time),N5,
夕飯,ゆうはん,dinner,N5,
郵便局,ゆうびんきょく,post office,N5,
昨夜,ゆうべ,last night,N5,
有名,ゆうめい,famous,N5,
雪,ゆき,snow,N5,
ゆっくりと,ゆっくりと,slowly,N5,
八日,ようか,eight days; eighth day of the month,N5,
洋服,ようふく,Western-style clothes,N5,
よく,よく,frequently,N5,
横,よこ,beside; side; width,N5,
四日,よっか,four days; fourth day of the month,N5,
四つ,よっつ,four things,N5,
呼ぶ,よぶ,to call (one's name); to invite,N5,
読む,よむ,to read,N5,
夜,よる,evening,N5,
弱い,よわい,weak,N5,
来月,らいげつ,next month,N5,
来週,らいしゅう,next week,N5,
来年,らいねん,next year,N5,
ラジオ,ラジオ,radio,N5,
ラジオカセ,ラジオカセ,radio cassette player,N5,
りっぱ,りっぱ,splendid,N5,
留学生,りゅうがくせい,international student,N5,
両親,りょうしん,parents (lit.,N5,
料理,りょうり,cooking; cuisine,N5,
旅行,りょこう,travel,N5,
零,れい,zero,N5,
冷蔵庫,れいぞうこ,refrigerator,N5,
レコード,レコード,record,N5,
レストラン,レストラン,restaurant,N5,
練習,れんしゅう (する),(to) practice,N5,
廊下,ろうか,corridor,N5,
六,ろく,six,N5,
ワイシャツ,ワイシャツ,shirt (lit: white shirt),N5,
若い,わかい,young,N5,
分かる,わかる,to understand,N5,
忘れる,わすれる,to forget,N5,
私,わたし,I,N5,
私,わたくし,I (formal),N5,
渡す,わたす,to hand (something) over (v.t.); to get across,N5,
渡る,わたる,to cross over,N5,
悪い,わるい,bad,N5,
